run_num,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,179.16,1413404315,1413404416,192.168.2.11,Wed Oct 15 17:50:16 NDT 2014,10,10,10,10000,,,,,,,,,,OpenDaylight,,
1,170.57,1413404417,1413404518,192.168.2.11,Wed Oct 15 17:51:58 NDT 2014,10,10,10,10000,,,,,,,,,,OpenDaylight,,
2,169.97,1413404519,1413404620,192.168.2.11,Wed Oct 15 17:53:40 NDT 2014,10,10,10,10000,,,,,,,,,,OpenDaylight,,
3,169.72,1413404621,1413404722,192.168.2.11,Wed Oct 15 17:55:22 NDT 2014,10,10,10,10000,,,,,,,,,,OpenDaylight,,
4,169.17,1413404723,1413404824,192.168.2.11,Wed Oct 15 17:57:04 NDT 2014,10,10,10,10000,,,,,,,,,,OpenDaylight,,
5,162.04,1413404824,1413404926,192.168.2.11,Wed Oct 15 17:58:46 NDT 2014,10,10,10,10000,,,,,,,,,,OpenDaylight,,
6,168.27,1413404936,1413405038,192.168.2.11,Wed Oct 15 18:00:38 NDT 2014,10,10,10,10000,,,,,,,,,,OpenDaylight,,
7,171.53,1413405038,1413405139,192.168.2.11,Wed Oct 15 18:02:19 NDT 2014,10,10,10,10000,,,,,,,,,,OpenDaylight,,
8,171.26,1413405140,1413405241,192.168.2.11,Wed Oct 15 18:04:01 NDT 2014,10,10,10,10000,,,,,,,,,,OpenDaylight,,
9,172.83,1413405244,1413405345,192.168.2.11,Wed Oct 15 18:05:45 NDT 2014,10,10,10,10000,,,,,,,,,,OpenDaylight,,
10,172.13,1413405346,1413405447,192.168.2.11,Wed Oct 15 18:07:27 NDT 2014,10,10,10,10000,,,,,,,,,,OpenDaylight,,
11,168.41,1413405448,1413405549,192.168.2.11,Wed Oct 15 18:09:09 NDT 2014,10,10,10,10000,,,,,,,,,,OpenDaylight,,
12,171.93,1413405550,1413405651,192.168.2.11,Wed Oct 15 18:10:51 NDT 2014,10,10,10,10000,,,,,,,,,,OpenDaylight,,
13,171.84,1413405652,1413405753,192.168.2.11,Wed Oct 15 18:12:33 NDT 2014,10,10,10,10000,,,,,,,,,,OpenDaylight,,
14,171.71,1413405753,1413405855,192.168.2.11,Wed Oct 15 18:14:15 NDT 2014,10,10,10,10000,,,,,,,,,,OpenDaylight,,
15,171.94,1413405855,1413405956,192.168.2.11,Wed Oct 15 18:15:56 NDT 2014,10,10,10,10000,,,,,,,,,,OpenDaylight,,
16,171.78,1413405957,1413406058,192.168.2.11,Wed Oct 15 18:17:38 NDT 2014,10,10,10,10000,,,,,,,,,,OpenDaylight,,
17,172.51,1413406058,1413406159,192.168.2.11,Wed Oct 15 18:19:19 NDT 2014,10,10,10,10000,,,,,,,,,,OpenDaylight,,
18,172.78,1413406160,1413406261,192.168.2.11,Wed Oct 15 18:21:01 NDT 2014,10,10,10,10000,,,,,,,,,,OpenDaylight,,
19,172.47,1413406262,1413406363,192.168.2.11,Wed Oct 15 18:22:43 NDT 2014,10,10,10,10000,,,,,,,,,,OpenDaylight,,
20,172.76,1413406363,1413406464,192.168.2.11,Wed Oct 15 18:24:24 NDT 2014,10,10,10,10000,,,,,,,,,,OpenDaylight,,
21,172.67,1413406465,1413406566,192.168.2.11,Wed Oct 15 18:26:06 NDT 2014,10,10,10,10000,,,,,,,,,,OpenDaylight,,
22,166.44,1413406567,1413406668,192.168.2.11,Wed Oct 15 18:27:48 NDT 2014,10,10,10,10000,,,,,,,,,,OpenDaylight,,
23,172.32,1413406668,1413406769,192.168.2.11,Wed Oct 15 18:29:29 NDT 2014,10,10,10,10000,,,,,,,,,,OpenDaylight,,
24,172.43,1413406770,1413406871,192.168.2.11,Wed Oct 15 18:31:11 NDT 2014,10,10,10,10000,,,,,,,,,,OpenDaylight,,
25,173.10,1413406872,1413406973,192.168.2.11,Wed Oct 15 18:32:53 NDT 2014,10,10,10,10000,,,,,,,,,,OpenDaylight,,
